Brokerage Company Name,NMLS# ,# of LO's as of 4/1/25,Company URL,Status,,Method,
Fidelity Direct Mortgage LLC,188829,76,https://www.fdmhome.com/,,https://www.fdmhome.com/OurTeam.html,68,https://docs.google.com/spreadsheets/d/1WOlBC_lZb2JeJwCgYC9Zw8aPjiU3nzIxxSKCWU3CLy8/edit?gid=0#gid=0
"Bayshore Mortgage Funding, LLC",196858,71,https://bayshoremortgagefunding.com/,,https://bayshoremortgagefunding.com/team-directory/,72,https://docs.google.com/spreadsheets/d/1r31CduLZQSOPBL9kXxqVa9cZOadsqLQJIzhosguYEHc/edit?gid=0#gid=0
Cabrillo Mortgage,292211,68,https://cabrillomortgage.com/,,https://cabrillomortgage.com/meet-our-team/,42,https://docs.google.com/spreadsheets/d/15d2CxwkJJCTTpCKkI-kKBG-OOrxN-s7QctdZPXSrbso/edit?gid=0#gid=0
Fulcrum Home Loans LLC,1926444,66,https://fulcrumhomeloans.com/,,https://www.fulcrumhomeloans.com/about-us,89,https://docs.google.com/spreadsheets/d/1vSODmJCh8Ecs0wIbJpoXS6RtTKDnJETlYWkcr7gCOSA/edit?gid=0#gid=0
"Northwest Finding Group, Inc. ",101770,64,http://www.nwfgi.com/,,http://www.nwfgi.com/recommended-professionals/?cn-s=&cn-cat=79,10,https://docs.google.com/spreadsheets/d/1RvzRmkgbhqaoq056WfYEG7sp2o1gMZCI5DLWv4Dhxio/edit?gid=0#gid=0
Copeland Mortgage Company DBA Summit Lending,1850081,64,https://summitlendingusa.com/,,https://summitlendingusa.com/our-team/,60,https://docs.google.com/spreadsheets/d/1G3gJhGAbAvPl7hRKZgt_lzqwpw_5B3QhCrIhAUSuAZs/edit?gid=0#gid=0
Silver Star Mortgage,1916128,63,https://www.silverstarmortgage.com/,,,,https://docs.google.com/spreadsheets/d/1Q24LI1Ys163TqYw1yewNwWjiqKd1_gTmBzIbUSNbtQQ/edit?gid=0#gid=0
"My Community Mortgage, LLC",2408499,60,https://www.yourmortgageourmission.com/,,https://www.yourmortgageourmission.com/our-staff,56,https://docs.google.com/spreadsheets/d/1e6u0GKLogvmNRGQDm01yZXTvNyTTNCmpH-2layrpvKo/edit?gid=0#gid=0
Advantage Mortgage Inc. ,1770599,58,https://findtheadvantage.com/,,https://findtheadvantage.com/loan-officers/,43,https://docs.google.com/spreadsheets/d/14E9nJ08meOkN6-xPFM0fsbufzKE7EaFBvvECKBR4Rks/edit?gid=0#gid=0
"MCM Holdings, Inc",213236,58,https://mcmholdingsinc.com/,,https://crmortgage.com/find-a-loan-officer/,9,https://docs.google.com/spreadsheets/d/1FgpXMwSsqhbVgDoDKYlFQSYbR3MHI0ZrqKhwvolyB1Q/edit?gid=0#gid=0
